"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"255"	63818	974	54.1111111111111	0	0	0	0	959	53.2777777777778	1998
"256"	63826	5022	62.775	2268	28.35	1210	15.125	1460	18.25	1998
"257"	63834	888	55.5	623	38.9375	265	16.5625	0	0	1998
"258"	63842	2538	70.5	1737	48.25	801	22.25	0	0	1998
"259"	63859	1433	95.5333333333333	0	0	0	0	1433	95.5333333333333	1998
"260"	63875	957	36.8076923076923	626	24.0769230769231	331	12.7307692307692	0	0	1998
"261"	63883	1789	38.063829787234	1303	27.7234042553191	486	10.3404255319149	0	0	1998
"262"	63891	3194	61.4230769230769	1530	29.4230769230769	699	13.4423076923077	851	16.3653846153846	1998
"263"	63909	91	22.75	60	15	31	7.75	0	0	1998
"264"	63917	5079	51.8265306122449	3400	34.6938775510204	1591	16.234693877551	0	0	1998
"265"	63925	3205	69.6739130434783	0	0	0	0	3205	69.6739130434783	1998
"266"	63933	246	41	165	27.5	81	13.5	0	0	1998
"267"	63941	576	57.6	418	41.8	152	15.2	0	0	1998
"268"	63958	412	25.75	283	17.6875	129	8.0625	0	0	1998
"269"	63966	499	24.95	338	16.9	136	6.8	0	0	1998
"270"	63974	3017	61.5714285714286	2024	41.3061224489796	993	20.265306122449	0	0	1998
"271"	63982	1985	58.3823529411765	0	0	0	0	1985	58.3823529411765	1998
"272"	63990	992	35.4285714285714	659	23.5357142857143	333	11.8928571428571	0	0	1998
"273"	64014	2033	34.4576271186441	858	14.5423728813559	454	7.69491525423729	661	11.2033898305085	1998
"274"	64022	3167	33.3368421052632	1594	16.7789473684211	765	8.05263157894737	808	8.50526315789474	1998
"275"	64030	1762	41.9523809523809	784	18.6666666666667	438	10.4285714285714	524	12.4761904761905	1998
"276"	64048	300	30	187	18.7	113	11.3	0	0	1998
"277"	64055	1606	29.2	723	13.1454545454545	389	7.07272727272727	492	8.94545454545455	1998
"278"	64063	590	21.0714285714286	362	12.9285714285714	228	8.14285714285714	0	0	1998
"279"	64071	355	25.3571428571429	0	0	0	0	355	25.3571428571429	1998
"280"	64089	376	14.4615384615385	164	6.30769230769231	96	3.69230769230769	116	4.46153846153846	1998
"281"	64105	516	46.9090909090909	322	29.2727272727273	194	17.6363636363636	0	0	1998
"282"	64113	244	22.1818181818182	162	14.7272727272727	82	7.45454545454545	0	0	1998
"283"	64139	1205	52.3913043478261	0	0	0	0	1205	52.3913043478261	1998
"284"	64162	15	7.5	8	4	7	3.5	0	0	1998
"285"	64170	198	28.2857142857143	121	17.2857142857143	77	11	0	0	1998
"286"	64188	419	41.9	276	27.6	143	14.3	0	0	1998
"287"	64196	1449	38.1315789473684	1026	27	423	11.1315789473684	0	0	1998
"288"	64204	541	22.5416666666667	245	10.2083333333333	127	5.29166666666667	169	7.04166666666667	1998
"289"	64212	22206	58.7460317460317	9686	25.6243386243386	4825	12.7645502645503	7228	19.1216931216931	1998
"290"	64220	11564	86.9473684210526	7699	57.8872180451128	3632	27.3082706766917	0	0	1998
"291"	64238	7995	145.363636363636	0	0	0	0	7624	138.618181818182	1998
"292"	64246	17103	164.451923076923	0	0	0	0	17103	164.451923076923	1998
